manufacturer,age,training_before[Y/N],gender,body_fat[%],smoking[Y/N],alcohol_times_week,occupation,education,marital_status,kids,location,N sessions/w 1m1w,N sessions/w 1m2w,N sessions/w 1m3w,N sessions/w 1y1w,N sessions/w 1y2w,N sessions/w 1y3w
xiaomi,21,False,M,27,False,0,,school,divorced,0,"52146 Gardner Rest Apt. 636
Sarahfort, PR 49848",5,4,2,3,2,1
garmin,29,True,M,8,True,3,"Sales professional, IT",bachelor,married,1,"6172 Michael Parks Suite 260
Lake Juliastad, FL 87095",4,3,3,3,2,2
coospo,37,True,M,13,False,3,Applications developer,bachelor,married,0,"2793 Maria Lodge Apt. 286
Alifort, VI 17650",4,4,2,4,4,2
fitbit,47,True,F,24,False,3,Chief Executive Officer,bachelor,married,1,"86218 Christopher Stravenue
Port Joshua, UT 22493",3,5,5,2,4,4
coospo,30,True,M,18,False,3,Translator,phd,married,0,"3603 Luke Courts Apt. 656
Petersenland, WI 45478",4,5,5,4,4,4
huawei,22,True,F,21,False,2,Management consultant,bachelor,separated,1,"21935 Miller Estate
Hernandezbury, RI 59273",4,3,3,4,3,3
xiaomi,59,True,F,21,True,0,Social researcher,phd,divorced,1,"870 Branch Harbors
Lake Sandyborough, HI 14787",3,3,3,2,2,2
oura,27,True,M,16,True,1,"Research officer, government",bachelor,single,0,"Unit 4562 Box 2065
DPO AP 76936",4,2,2,4,2,2
fitbit,52,False,F,20,False,2,Legal secretary,school,widowed,2,"32652 Crystal Dale
West Anthonyview, NH 70117",2,4,5,2,3,4
oura,25,True,M,17,False,0,Horticultural consultant,master,single,0,"66478 Miller Ports Apt. 515
South Colleenchester, WA 72899",3,4,3,3,4,3
xiaomi,41,True,F,27,False,3,Adult guidance worker,master,widowed,3,"80109 Jill Cliff
Bethhaven, LA 95834",3,3,3,2,2,2
apple,54,True,M,11,False,0,Osteopath,phd,divorced,3,"664 Ruiz Tunnel
Lake Michelle, IN 03587",2,4,3,2,4,3
apple,65,False,F,38,True,0,Biomedical scientist,phd,widowed,2,"456 Kaitlyn Wells Suite 630
Lawsonport, NE 91493",3,5,5,1,2,2
garmin,57,True,M,21,False,0,Tree surgeon,phd,separated,0,"PSC 6696, Box 8885
APO AA 82546",3,4,3,2,3,2
fitbit,18,True,F,20,False,3,,school,single,0,"519 Lori Summit
North Bonnie, PW 02829",3,3,3,2,2,2
fitbit,32,True,M,13,False,2,Immunologist,master,single,2,"60240 Reyes Ranch
Wongborough, KY 47430",4,4,3,4,4,3
oura,55,False,F,37,True,1,Financial planner,school,married,3,"3735 Laurie Wall
Dianaburgh, MI 77374",4,2,4,1,1,1
sony,27,True,M,12,True,2,Financial adviser,bachelor,divorced,2,"950 Krystal Shoals
Karenfort, VT 19906",4,3,5,4,3,4
garmin,42,True,F,16,False,0,Financial risk analyst,master,separated,0,"0996 John Extension
West Tylerland, AK 27176",4,3,4,4,3,4
garmin,42,True,M,8,False,3,Cytogeneticist,school,separated,0,"767 Dawn Pike
New Emmaside, OH 69495",3,3,3,3,3,3
xiaomi,41,True,M,8,False,1,Actuary,phd,separated,1,"709 Patel Flats Suite 723
Harrisfort, CA 82039",3,3,3,3,3,3
coospo,42,True,M,14,True,2,Mining engineer,master,single,0,"067 James Road
New Sandra, UT 94809",2,2,3,2,2,3
apple,39,True,M,14,True,1,Sport and exercise psychologist,school,divorced,2,"0270 Jeffery Park Apt. 970
South Eugene, DC 29729",4,4,4,4,4,4
garmin,19,False,F,26,False,1,,school,single,0,"0225 Bobby Port Apt. 837
Edwardshaven, KS 75838",4,4,3,2,2,2
fitbit,44,False,F,22,False,3,Diplomatic Services operational officer,bachelor,married,3,"4727 Martinez Forges
Higginsbury, ND 30323",3,3,2,2,2,2
oura,31,True,M,15,True,2,IT sales professional,master,married,2,"080 Wallace Mountains
East Paulaberg, MS 65638",3,4,4,3,4,4
apple,22,True,F,20,False,1,"Physicist, medical",bachelor,married,1,"47576 Heidi Highway
Sarahhaven, TX 90685",2,2,3,2,2,3
oura,25,False,M,21,True,0,"Presenter, broadcasting",bachelor,married,1,"2412 Johnson Roads
West Josephmouth, MP 85185",3,3,5,2,2,3
garmin,30,True,M,19,True,3,Proofreader,phd,married,3,"5512 Wilson Ferry Apt. 945
North Todd, WA 38512",4,4,4,2,2,2
xiaomi,41,False,M,18,True,1,"Investment banker, operational",bachelor,widowed,3,"76787 Sean Spur
Alejandroberg, CO 42319",3,3,2,2,2,2
coospo,38,True,M,20,False,1,"Scientist, water quality",bachelor,separated,3,"28228 Laura Ports
East Robert, FL 87173",3,3,2,3,3,2
apple,20,True,M,15,False,0,,school,separated,0,"460 Burton Inlet Apt. 633
Lake Andreatown, GA 74572",3,3,2,3,3,2
sony,53,False,M,16,True,3,Psychiatric nurse,phd,widowed,2,"6267 Whitney Mill
East Larryton, PR 78666",3,3,3,1,1,1
apple,25,True,F,18,True,2,Commercial horticulturist,master,single,1,"97368 Michael Canyon
Larryfort, AZ 12969",5,4,5,4,4,4
oura,34,True,F,24,False,0,Consulting civil engineer,school,divorced,1,"33731 Boyd Shoal
East Jessica, NE 71584",3,3,4,3,3,4
garmin,40,True,M,20,False,1,"Accountant, chartered management",school,single,2,"Unit 4643 Box 3193
DPO AE 76928",3,3,4,3,3,4
sony,61,False,F,18,True,3,Financial planner,master,single,2,"8973 Green Stream Suite 604
Tonymouth, SC 57666",3,3,2,1,1,1
sony,20,True,M,19,False,2,,school,single,0,"22042 Washington Road Apt. 986
Martinezburgh, ME 39556",3,4,3,2,3,2
garmin,24,False,M,19,False,2,Water quality scientist,master,divorced,2,"06022 Anthony Extensions
Lake Eddie, OK 91107",2,3,3,1,2,2
xiaomi,24,True,F,14,True,3,Drilling engineer,master,separated,1,"380 Robert Forge
Williamsstad, NV 63991",5,4,3,3,2,2
coospo,25,True,F,29,False,3,"Production designer, theatre/television/film",bachelor,divorced,1,"24108 Aaron Creek Suite 342
New Brettstad, VI 55292",4,3,5,3,2,4
xiaomi,31,True,M,10,False,3,Information systems manager,phd,married,1,"7412 Heather Ranch Suite 111
Kelleyland, VI 44095",3,3,3,3,3,3
sony,52,True,M,12,True,3,"Designer, furniture",school,widowed,1,"PSC 8976, Box 3187
APO AE 41852",3,3,3,2,2,2
sony,44,False,F,35,False,1,Technical sales engineer,bachelor,widowed,1,"8033 Christian Lane Apt. 561
West Marcus, AZ 83909",3,3,2,2,2,2
oura,31,True,M,17,False,1,Advertising copywriter,bachelor,single,2,"33469 Kevin Field
Mcgeeborough, PA 55598",3,4,2,3,4,2
fitbit,34,True,F,18,False,0,"Research officer, trade union",master,single,2,"722 Timothy Orchard Apt. 496
Terribury, WA 56241",3,3,3,3,3,3
sony,35,True,M,12,True,1,"Investment banker, corporate",master,divorced,3,"PSC 0524, Box 1297
APO AA 06599",4,3,4,4,3,4
oura,43,True,M,10,False,0,Community arts worker,school,separated,1,"5249 Johnson Estate Apt. 226
Dickersonfort, RI 62508",5,4,4,5,4,4
sony,18,True,M,17,True,0,,school,single,0,"807 Figueroa Spur Apt. 866
Lake Coreyton, MT 77883",5,4,3,4,3,2
coospo,31,True,M,12,False,0,"Teacher, adult education",bachelor,married,3,"196 Amanda Summit
South Antonio, UT 35171",3,3,3,3,3,3
apple,25,True,M,17,True,3,"Conservation officer, historic buildings",bachelor,divorced,1,"50114 Sutton Via
Davidshire, GA 50256",4,4,4,3,3,3
oura,36,True,M,19,True,3,"Engineer, manufacturing",master,single,0,"57815 Scott Garden
Kimberlyside, MH 47996",2,2,2,1,1,1
apple,24,False,M,23,False,1,Trade mark attorney,master,married,1,"27641 Dawn Overpass Apt. 044
West Tiffanymouth, WY 40428",4,4,4,2,2,2
coospo,22,True,M,19,False,2,Human resources officer,master,married,1,"Unit 7632 Box 9561
DPO AP 91868",2,2,3,2,2,2
garmin,31,False,M,28,False,1,Economist,bachelor,separated,3,"806 Robert Road
Williamsshire, PA 93095",3,2,4,2,2,3
garmin,36,True,M,15,True,3,Customer service manager,phd,married,3,"6679 Tate Drive Apt. 461
Lake Billy, UT 26293",4,4,4,3,3,3
fitbit,47,False,M,25,False,2,Electrical engineer,school,separated,3,"97520 Taylor Bypass Apt. 086
Juliemouth, VA 00953",2,4,2,1,2,1
coospo,24,False,M,29,False,1,Insurance account manager,bachelor,divorced,2,"2593 William Shores Suite 724
Sanchezfurt, NM 69805",4,5,5,2,3,3
garmin,38,True,F,26,True,2,"Administrator, Civil Service",bachelor,married,3,"PSC 7145, Box 9182
APO AP 75792",2,5,4,2,4,3
fitbit,18,True,M,20,True,1,,school,single,0,"638 Gray Forge
Christopherfurt, IA 59248",3,2,2,2,1,1
oura,30,True,M,21,True,2,Animal technologist,master,divorced,0,"3674 Rodriguez Crest Apt. 513
Williestad, NJ 20191",3,3,3,2,2,2
fitbit,33,False,F,30,False,0,"Engineer, automotive",school,married,1,"94340 Christina Mountain
Victorburgh, WA 13675",3,2,2,2,2,2
fitbit,37,True,F,14,False,0,Biomedical scientist,phd,divorced,0,"53986 John Flat Suite 414
Anaborough, ID 36567",4,4,3,4,4,3
oura,45,False,F,38,False,2,Environmental health practitioner,school,divorced,3,"USNS Adams
FPO AA 81309",4,4,5,3,3,4
xiaomi,61,False,F,33,False,1,Radio broadcast assistant,bachelor,widowed,1,"14057 Amy Pines Apt. 423
Port Marilynfurt, RI 69451",2,3,2,1,2,1
oura,20,True,F,24,False,1,,school,divorced,0,"1955 Brenda Neck
Lake Douglasberg, AR 52964",3,2,3,3,2,3
sony,54,True,M,13,False,1,Music therapist,phd,single,3,"951 Rivera Mount
New Andrewburgh, DC 40670",4,2,3,4,2,3
coospo,36,True,M,11,False,1,Commissioning editor,master,separated,0,"8812 Lewis Fords
Port Joseph, WI 63503",3,2,2,3,2,2
coospo,34,True,M,17,False,1,Music tutor,phd,separated,2,"3270 Michael Villages
Escobarfort, WV 30597",4,4,5,4,4,5
garmin,28,True,M,10,False,0,English as a foreign language teacher,bachelor,married,1,"42036 Flores Underpass Suite 780
South Sharonberg, OH 54411",4,3,3,4,3,3
coospo,56,False,F,19,False,0,Holiday representative,master,divorced,0,"21285 Tucker Port
East Matthew, OH 12008",3,3,3,2,2,2
coospo,32,True,M,18,False,0,Race relations officer,school,divorced,2,"990 Brian Lodge Apt. 447
Ramseyberg, NE 60854",3,3,3,3,3,3
huawei,49,False,F,38,False,1,"Biochemist, clinical",phd,divorced,1,"618 Rowe Rapid
Lake Deborah, KY 53249",3,3,5,2,2,3
oura,37,False,F,34,True,1,Aeronautical engineer,school,divorced,2,"10080 Castillo Estate
Sanchezmouth, OH 73359",2,3,2,1,2,1
oura,25,True,M,13,True,2,Location manager,bachelor,married,1,"429 Stephanie Trafficway
South Evan, VT 82675",4,5,3,4,4,3
huawei,18,False,F,29,False,3,,school,single,0,"41980 Cheryl Road
West Angelica, NE 15064",3,3,3,1,1,1
garmin,31,True,F,21,False,0,Special educational needs teacher,master,separated,3,"816 Michael Center Apt. 924
South Tyler, ND 55919",3,3,3,3,3,3
coospo,39,True,F,29,False,0,Medical physicist,bachelor,separated,3,"029 Geoffrey Land
North Aaron, PW 23820",3,4,4,3,4,4
xiaomi,59,True,F,23,False,1,"Therapist, music",phd,divorced,2,"9341 Vasquez Route Apt. 147
North Matthewmouth, ND 35331",3,4,5,3,4,4
apple,19,True,M,21,False,3,,school,single,0,"9578 Eaton Rapid
Aprilport, UT 96545",3,3,5,2,2,3
xiaomi,31,False,F,20,False,0,Careers information officer,school,separated,3,"0932 Beck Common
South Cathy, IN 30817",2,3,3,2,3,3
coospo,21,False,M,22,False,1,,school,single,0,"70789 Schaefer Flats Apt. 629
South Shawn, LA 61064",5,5,3,3,3,2
xiaomi,58,False,M,13,True,3,Osteopath,phd,divorced,2,"Unit 5966 Box 9871
DPO AP 26178",4,3,4,1,1,1
oura,59,True,M,9,False,0,Politician's assistant,phd,single,3,"163 Hicks Island
Lake Craigburgh, VT 94316",5,4,4,4,4,4
oura,37,True,F,16,False,2,Automotive engineer,master,married,3,"10228 Nunez Terrace Suite 213
New Joseph, SD 49942",4,4,2,4,4,2
fitbit,21,True,F,18,True,1,,school,separated,0,"253 Garcia Shoals
Fosterfurt, SC 27322",3,3,3,2,2,2
sony,22,True,M,15,False,3,Oncologist,master,divorced,2,"372 Kim Park
Candaceton, NH 38226",2,3,2,2,2,2
fitbit,60,True,F,15,False,0,Best boy,school,widowed,3,"904 Morgan Village Suite 123
South Sydneyport, AZ 23221",2,3,3,2,3,3
apple,56,True,F,29,False,2,Geophysical data processor,school,divorced,0,"2729 Danielle Drive
New Katherineside, NH 06282",3,3,3,2,2,2
coospo,31,True,M,8,False,3,"Merchandiser, retail",school,married,1,"57709 Christian Springs
Craigborough, UT 86631",3,4,4,3,4,4
sony,38,True,F,19,True,1,Proofreader,phd,single,3,"7739 Vernon Gateway
North Phillipberg, MS 05304",3,5,4,3,4,4
huawei,25,False,M,14,True,1,"Surveyor, hydrographic",master,single,2,"2507 Edwards Squares Suite 250
North Christinemouth, OR 11436",3,3,3,2,2,2
coospo,36,True,F,14,True,1,Pharmacologist,phd,single,2,"82977 Allen Mills
Whiteberg, TN 93908",2,3,2,2,3,2
apple,36,True,F,15,True,1,IT sales professional,bachelor,divorced,2,"178 Daniel Creek Suite 454
New Markburgh, ME 48154",3,3,2,3,3,2
huawei,25,False,F,30,False,3,Ranger/warden,bachelor,divorced,0,"454 Madden Flat
Dianaburgh, GU 54216",4,3,4,2,2,2
fitbit,44,False,M,26,False,0,Electrical engineer,master,separated,3,"44553 Yang Drive Suite 401
Rebeccaborough, GA 72511",2,3,2,2,2,2
sony,20,True,F,16,False,2,,school,single,0,"64075 Madison Burgs
Hansonshire, PA 38272",2,3,2,2,3,2
huawei,42,True,F,18,False,3,Maintenance engineer,master,married,3,"674 Nguyen Union Suite 683
South Taylorfort, AL 79959",4,4,2,4,4,2
xiaomi,40,True,F,20,False,2,Counselling psychologist,bachelor,separated,0,"681 Gary Brook Suite 421
East Aliciaville, GU 71541",5,3,4,5,3,4
garmin,40,True,M,12,False,1,Claims inspector/assessor,master,married,1,"48235 Watson Shoals Suite 731
Bondmouth, IA 22684",3,4,4,3,4,4
oura,36,True,M,19,False,1,"Journalist, newspaper",master,divorced,2,"489 Webb Trafficway
Markfurt, WA 60601",5,3,3,4,3,3
coospo,28,False,M,29,False,1,Fitness centre manager,master,single,1,"USS Garza
FPO AE 20426",3,3,3,2,2,2
garmin,28,False,M,21,True,2,Magazine features editor,school,separated,0,"515 Kenneth Loaf Suite 509
Mooreland, TX 42033",3,3,3,2,2,2
sony,43,True,M,19,False,3,Exercise physiologist,phd,divorced,2,"32245 Wendy Rapid Suite 464
Melissahaven, FM 98812",3,3,3,2,2,2
oura,18,True,F,29,False,1,,school,single,0,"557 Jamie Knoll
Hendersonchester, SC 24262",5,3,5,4,2,4
sony,55,False,M,21,False,2,Meteorologist,phd,single,3,"36650 Stark Garden
Hallfort, AS 99763",2,3,4,1,2,2
apple,45,True,M,17,True,2,"Librarian, academic",bachelor,separated,0,"70125 Ruiz Haven
Rosetown, MO 75381",3,3,3,3,3,3
coospo,30,True,M,9,False,3,"Lighting technician, broadcasting/film/video",bachelor,single,3,"578 Malik Route
Nataliemouth, ND 87329",4,5,4,4,4,4
coospo,26,True,M,19,False,0,Veterinary surgeon,master,separated,1,"Unit 4059 Box 6695
DPO AA 52155",2,2,3,2,2,3
fitbit,33,True,M,16,False,0,Rural practice surveyor,bachelor,single,0,"USNS Jones
FPO AP 72290",3,3,3,3,3,3
oura,18,True,F,28,True,2,,school,single,0,"22043 Erickson Springs Suite 617
Stanleyfort, CT 49763",3,4,4,2,2,2
oura,33,True,M,18,False,0,"Conservation officer, nature",master,separated,3,"10790 Morales Unions
Ronaldland, ME 62944",4,2,4,4,2,4
oura,27,True,F,27,True,0,Primary school teacher,bachelor,separated,2,"955 Allen Mountains Suite 116
Kevinfurt, IA 24968",4,2,2,3,2,2
huawei,22,True,M,20,True,3,Web designer,master,divorced,2,"415 Cynthia Throughway Suite 801
Schneiderburgh, GU 60680",3,3,2,1,1,1
xiaomi,49,True,M,16,False,2,"Radiographer, therapeutic",bachelor,divorced,2,"29880 Carr Wells
Port Judithport, MP 44659",4,3,4,4,3,4
fitbit,27,True,F,18,False,0,Estate agent,bachelor,divorced,0,"PSC 0273, Box 4381
APO AA 16268",3,4,2,3,4,2
xiaomi,25,True,M,16,False,1,Public relations officer,bachelor,single,0,"356 Mitchell Junction
East Cody, MH 07134",2,3,2,2,3,2
xiaomi,22,False,F,29,False,0,"Designer, graphic",bachelor,divorced,1,"0409 Craig Camp
Yorkmouth, DE 76879",2,4,3,1,2,2
garmin,44,True,F,25,False,1,"Scientist, audiological",phd,single,1,"3599 Palmer Lake
Port Patrickside, WV 69673",2,2,2,2,2,2
huawei,26,True,M,19,False,3,Commercial art gallery manager,bachelor,separated,0,"PSC 9402, Box 1850
APO AA 79633",2,3,2,2,2,2
coospo,45,True,M,8,False,0,Chief Marketing Officer,school,divorced,0,"70370 Andrea Circle Apt. 582
Websterfort, AR 51264",4,3,5,4,3,5
fitbit,47,False,F,36,False,0,Water engineer,master,married,2,"230 Melissa Pike Suite 118
Jacobborough, MH 39891",3,3,3,2,2,2
oura,22,True,F,26,False,3,Mechanical engineer,bachelor,separated,2,"18146 Anthony Keys Suite 331
New Ericchester, VT 15172",3,4,3,2,2,2
apple,28,True,M,9,False,0,TEFL teacher,master,divorced,1,"42980 Lewis Overpass
Stevenshire, VA 87666",5,3,5,5,3,5
sony,22,True,F,25,False,2,Manufacturing engineer,master,divorced,1,"7152 Mark Light Suite 998
West Robert, MN 55181",4,3,3,4,3,3
xiaomi,44,True,M,11,True,0,Further education lecturer,bachelor,widowed,3,"7285 King Springs Apt. 253
North Michaelfurt, OH 97131",3,3,3,3,3,3
oura,33,True,F,29,False,1,"Journalist, broadcasting",school,divorced,0,"50651 Sarah Crossroad
West Kimberlyshire, NV 33634",2,2,3,2,2,3
fitbit,57,True,M,10,False,2,Trade union research officer,bachelor,married,3,"868 Irwin Valleys Apt. 844
Warrenfurt, MH 67147",4,4,3,4,4,3
oura,18,True,F,21,False,1,,school,single,0,"PSC 0435, Box 1074
APO AA 04724",5,2,2,4,2,2
fitbit,21,True,F,22,True,0,,school,single,0,"5279 Nancy Ville Suite 199
Michaelmouth, CT 27098",5,3,3,4,2,2
garmin,60,False,M,25,False,2,Operations geologist,master,separated,0,"345 Michelle Keys Apt. 585
Timshire, GU 46851",2,2,2,1,1,1
coospo,36,True,F,29,False,1,Dealer,bachelor,divorced,2,"01151 Emily Rest Suite 779
South Steven, NJ 78944",3,2,2,3,2,2
oura,44,True,M,20,False,0,Interior and spatial designer,phd,divorced,1,"816 Thomas Freeway
South Tinatown, GA 75003",3,3,3,3,3,3
huawei,41,True,F,29,False,3,Nutritional therapist,phd,single,2,"311 Chelsey Spur
South Crystal, MT 85616",5,5,4,4,4,3
garmin,61,True,F,15,False,0,Recruitment consultant,bachelor,single,1,"722 Edward Ridge
Gregoryfort, MO 95907",4,5,4,4,4,4
oura,51,True,F,17,False,1,"Designer, jewellery",school,divorced,2,"582 Alyssa Centers
Penabury, VI 64767",2,3,2,2,3,2
huawei,41,True,M,9,False,1,Chartered certified accountant,bachelor,widowed,0,"Unit 5144 Box 7966
DPO AA 17673",3,3,2,3,3,2
coospo,33,True,F,22,True,0,Naval architect,master,separated,2,"USCGC Koch
FPO AP 57041",4,2,4,4,2,4
oura,62,True,F,24,False,3,Aeronautical engineer,school,divorced,0,"USNV Mueller
FPO AE 75562",3,2,4,2,2,3
coospo,35,True,M,20,True,3,Systems analyst,phd,divorced,0,"5533 Jessica Isle Suite 780
Richardsland, IL 90184",3,3,3,2,2,2
sony,40,True,M,20,True,0,"Radiographer, therapeutic",phd,widowed,0,"4047 David Trafficway
South Adamview, IA 57815",4,5,3,3,4,2
oura,28,False,F,37,False,2,Translator,master,married,2,"Unit 2905 Box 4451
DPO AP 50812",4,3,3,3,2,2
sony,65,True,M,13,False,3,Dispensing optician,master,married,1,"803 Jonathan Inlet
Beckhaven, AS 19092",3,3,3,2,2,2
sony,20,False,F,29,False,3,,school,married,0,"93518 Garcia Vista
Petermouth, VI 87871",3,3,3,1,1,1
huawei,23,False,F,33,False,0,Intelligence analyst,master,single,0,"92083 Miller Freeway Apt. 280
New Andrewport, TX 13181",4,3,4,2,2,2
garmin,44,False,M,16,True,1,Agricultural consultant,bachelor,married,0,"803 Wilson Circles Apt. 646
Howardtown, ID 75534",4,3,3,3,2,2
apple,48,True,F,23,False,2,Drilling engineer,master,divorced,1,"4497 Kimberly Glens Suite 851
East Timothyshire, KS 88988",3,4,3,3,4,3
garmin,27,False,M,13,False,2,Control and instrumentation engineer,bachelor,separated,2,"7525 Ford Alley
Lake Johnstad, AS 34800",3,2,5,3,2,4
sony,23,True,M,8,False,3,"Accountant, chartered public finance",bachelor,divorced,1,"4958 Taylor Land Apt. 437
Lake Trevorborough, CT 99538",3,3,3,2,2,2
apple,25,True,M,11,False,1,Best boy,bachelor,single,1,"993 Garcia River Apt. 720
New Jonathan, FM 61264",2,3,2,2,3,2
xiaomi,22,False,M,26,False,1,Mechanical engineer,bachelor,single,1,"2884 Johnson Estate
Braunstad, MD 09107",3,4,3,2,2,2
fitbit,31,False,F,33,False,1,Financial trader,bachelor,single,1,"3455 Smith Vista Suite 382
Bassfurt, MP 28254",5,5,5,4,4,4
coospo,36,True,F,14,False,3,Technical author,phd,separated,3,"06809 Natalie Valley
North Tyler, DE 21013",4,2,3,4,2,3
fitbit,45,False,F,35,False,1,Acupuncturist,phd,single,1,"0481 Elizabeth Crest Suite 994
Cannonborough, MT 11771",4,3,3,3,2,2
sony,65,True,F,17,False,1,Sports therapist,phd,widowed,2,"4253 Alexandra Roads Suite 284
Port Mark, DE 76013",5,5,3,4,4,3
sony,43,True,M,12,False,3,Logistics and distribution manager,master,widowed,0,"2875 Rodriguez Common Apt. 813
New Laceybury, LA 85929",3,4,3,3,4,3
xiaomi,59,True,F,22,False,0,Administrator,phd,widowed,1,"37773 Dakota Roads
North Alexis, CA 75079",4,4,3,4,4,3
sony,25,False,F,19,False,1,Magazine features editor,master,married,0,"0951 Harris Shoals
West Meghan, RI 48964",2,4,3,2,4,3
apple,30,False,M,27,False,0,Magazine features editor,bachelor,married,2,"135 Knight Lodge Apt. 128
North Allison, GA 65287",3,3,3,2,2,2
huawei,21,True,M,10,True,3,,school,divorced,0,"69004 William Garden
Monicafurt, PW 25205",3,3,3,2,2,2
huawei,42,True,M,20,False,1,Technical sales engineer,master,separated,1,"004 Gary Ports Apt. 422
Port Stephenberg, FL 73604",4,4,4,4,4,4
oura,60,True,F,15,False,0,Learning disability nurse,bachelor,married,2,"888 John Spur
Haysville, KS 07821",2,3,4,2,3,4
fitbit,22,True,M,12,True,1,Counselling psychologist,bachelor,single,2,"080 David Drive Apt. 835
Rhodeston, FM 44753",5,3,3,4,2,2
apple,39,True,M,20,False,1,Diplomatic Services operational officer,phd,separated,1,"825 Carter Inlet Apt. 406
Donaldmouth, PA 61948",5,4,5,4,4,4
huawei,23,False,M,17,False,2,Pensions consultant,bachelor,married,1,"46618 Patrick Way Suite 953
Williamsland, VI 93833",3,3,3,2,2,2
huawei,23,False,M,22,True,1,Animal technologist,master,separated,2,"Unit 4010 Box 0663
DPO AE 30616",3,3,4,1,1,1
coospo,28,False,F,37,False,2,Podiatrist,bachelor,married,2,"104 Audrey Tunnel Suite 934
Port Matthewstad, TN 61631",5,4,5,4,3,4
fitbit,38,True,M,13,False,2,Location manager,school,married,2,"65039 Mcbride Lake
West Virginia, CA 32613",3,4,3,3,4,3
sony,21,False,F,29,False,0,,school,married,0,"57676 Bryan Cliff Suite 635
South Katelynland, WY 95889",4,2,2,2,1,1
apple,56,True,M,21,False,1,Insurance account manager,bachelor,separated,1,"768 Garner Motorway Apt. 803
Sarahport, AZ 94647",4,3,4,3,2,3
sony,24,True,M,20,False,2,"Merchandiser, retail",master,separated,0,"0917 King Course Apt. 030
Lake Michaelside, AS 67964",4,3,3,3,2,2
coospo,25,False,M,29,False,1,Recycling officer,bachelor,separated,2,"476 Robert Union Suite 542
Lake Martin, PW 52530",5,3,3,4,2,2
garmin,21,True,F,15,False,2,,school,separated,0,"6612 Alexandra Mills
Greenmouth, MA 81542",3,3,3,3,3,3
fitbit,45,True,F,19,False,1,"Research officer, political party",master,separated,0,"206 Hill Common Apt. 268
South Carlos, AL 03822",5,2,5,5,2,5
oura,22,True,F,25,False,1,"Therapist, speech and language",bachelor,married,2,"4118 Andrew Manors Suite 010
Stevensonmouth, IL 59856",3,3,3,3,3,3
sony,19,False,F,18,False,0,,school,single,0,"386 Patterson Plains
Elizabethtown, MS 85249",3,3,4,2,2,3
apple,26,True,F,26,False,1,"Nurse, children's",master,separated,0,"9267 Douglas Summit
Fisherbury, GU 19595",3,3,3,3,3,3
oura,32,True,F,19,False,3,Architect,master,married,0,"1784 Robinson Keys Suite 345
New Markfort, DC 48580",3,4,4,3,4,4
coospo,25,False,M,17,False,1,"Scientist, marine",bachelor,single,2,"38135 Reed Key Suite 256
Gabriellefurt, CA 63851",2,3,2,2,3,2
coospo,45,True,F,28,False,2,Chief Operating Officer,school,widowed,2,"7175 Robert Shoals Suite 637
West Shannon, TX 51679",2,2,2,2,2,2
huawei,29,True,F,28,False,3,Special effects artist,school,separated,2,"414 Cathy Underpass Apt. 971
North Lisa, IL 05983",3,4,5,2,3,4
xiaomi,24,True,F,17,False,3,Mechanical engineer,master,married,0,"259 Lisa Circles
Rhondafurt, WV 16254",3,4,3,2,3,2
sony,36,True,F,22,True,2,"Surveyor, commercial/residential",master,divorced,1,"1679 Lee Road
Greenville, MS 49428",3,3,3,3,3,3
coospo,42,True,M,10,False,0,Production manager,bachelor,separated,0,"90517 Fuentes Camp Apt. 704
West Michael, NE 58697",4,5,3,4,5,3
xiaomi,23,True,F,18,False,0,Police officer,master,married,2,"46840 Christopher Place Suite 135
New Cindyport, HI 64165",3,4,5,3,4,4
sony,27,False,F,38,True,3,Contracting civil engineer,bachelor,separated,1,"9604 Valdez Underpass Apt. 964
Susanberg, KS 54291",3,2,2,1,1,1
oura,38,True,F,21,False,2,"Lecturer, higher education",master,separated,1,"Unit 7439 Box 3607
DPO AE 77046",4,4,3,4,4,3
oura,22,True,M,9,True,1,"Engineer, broadcasting (operations)",master,divorced,0,"2011 Arnold Valley
Sparksland, NE 62327",5,5,5,4,4,4
fitbit,25,True,M,17,False,0,Network engineer,bachelor,single,1,"2915 Cole Mews
West Amandabury, NE 93104",2,2,4,2,2,4
xiaomi,24,True,F,18,True,3,Television camera operator,master,separated,2,"3541 Miller Corner Suite 594
South Douglas, KY 62127",5,3,4,3,2,2
fitbit,25,True,M,18,True,0,Building services engineer,bachelor,single,1,"672 Mark Village Suite 286
Hardybury, ID 29219",3,3,3,3,3,3
coospo,37,True,M,10,False,2,IT sales professional,master,separated,0,"8808 Kelly Roads Suite 260
New Traciville, UT 86141",4,4,4,4,4,4
huawei,57,False,M,13,False,2,Lexicographer,bachelor,single,0,"342 Patterson Keys Suite 400
South Crystalfurt, DC 01069",3,3,2,2,2,2
apple,49,True,M,13,True,1,Retail manager,phd,separated,1,"60898 Greene Place Suite 360
Lake Benjamin, AZ 40440",2,2,3,2,2,2
sony,28,True,M,20,False,0,Financial adviser,phd,married,2,"812 Renee Radial Suite 152
Krauseburgh, FL 67549",3,3,2,3,3,2
xiaomi,21,True,F,29,True,0,,school,married,0,"7665 Alec Shores
North Johnfort, WA 17724",5,5,4,3,3,2
oura,60,True,F,21,False,1,Public relations officer,phd,widowed,0,"445 Martin Ridges Suite 974
Colefort, NH 64443",2,3,2,2,3,2
